clause,chapter,ko,star,requirement,tracker_status,owner,due,named_evidence,verified_grade_11aug,verified_note_11aug,internal_audit_14aug,internal_audit_note
2.3.9.2,2,,,Records of CCP monitoring shall be verified by a responsible person within the company and maintained for a relevant period. 52 IFS FOOD VERSION 8,Done,Eva Grm,1.4. 2026,OBR42: Mikrobiološki rezultati 2026 Delovni nalog (metal detektor) DN20 OBVLADOVANJE DOKUMENTOV IN ZAPISOV,,,,
2.3.9.3,2,,,The operative personnel in charge of the monitoring of control measures defined for CCPs and other control measures shall have received specific training/instruction.,Done,Eva Grm,1.4. 2026,DN03 V2 in OBR05B PLAN USPOSABLJANJA,D,"CCP monitoring personnel not trained, no instruction record - OBR48 entirely blank",,
2.3.9.4,2,,,"Control measures, other than those defined for CCPs, shall be monitored, recorded and controlled by measurable or observable criteria.",Not started,Lucija Klopčič,1.4. 2026,,,,,
2.3.10.1,2,,,"In the event that the monitoring indicates that a particular control measure defined for a CCP or any other control measure is not under control, corrective actions shall be documented and imple- mented. Such corrective actions shall also take any action relating to non-conforming products into acco",In progress,"Eva Grm, Ana Štravs",1.4. 2026,DN15 SPROSTITEV IN RAVNANJE Z NESKLADNIMI IZDELKI V3.docx HS05_HACCP.xlsx odoo quality alerts,,,,
2.3.11.1,2,,,"Procedures of validation, including revalidation after any modification that can impact food safety, shall be documented, implemented and maintained to ensure that the HACCP plan is suitable to effectively control the identified hazards.",Done,Eva Grm,1.4. 2026,HS06: Plan in porocilo validacije (K)KT (2026),,,,
2.3.11.2,2,,*,"Procedures of verification shall be documented, implemented and maintained to confirm that the HACCP plan is working correctly. Verification activities of the HACCP plan, for example: • internal audits • testing • sampling • deviations and non-conformities • complaints shall be performed at least on",In progress,Eva Grm,1.4. 2026,"OBR23 POROČILO VERIFIKACIJE HACCP, 8.1.2026.docx OBR23 IZREDNA VERIFIKACIJA HACCP - uvedba nove KKT (pasterizacija).docx",C,"~half of the 28 actions from the 8.1.2026 annual verification still open, 5-6 months past deadline (allergen training, traceability test, TACCP update, signing product specs)",,
2.3.12.1,2,,,"Documentation and records related to the HACCP plan, for example: • hazard analysis • determination of control measures defined for CCPs and other control measures • determination of critical limits • processes • procedures • outcome of control measures defined for CCPs and other control measure mon",Done,Eva Grm,1.4. 2026,HACCP,,,,
3.1.1,3,,,"All personnel performing work that affects product safety, quality, legality and authenticity shall have the required competence, appropriate to their role, as a result of education, work experience and/or training.",Done,Lina Petek,1.4. 2026,"1:1 pogovori z zaposlenimi: online evidenca v HR Ocena sodelavcev ob 1 letu zaposlitve: https://docs.google.com/spreadsheets/d/1STAhuCElFRlr00pdZMCvsfy7RvP--QSzmmVyNHnzga0/edit?resourcekey=&gid=1829840860#gid=1829840860 Training & Learning folder (plans, evidence, tracker): https://drive.google.com/drive/folders/18zJUk3T6gIOYTZGb69dQTZ6XCQchKMI-?usp=sharing Mentor tracker: https://docs.google.com/spreadsheets/d/15I8z-PPo7oLa0Tz61mBTfQUSGh3DiZUYGcI_IBw23VM/edit?gid=0#gid=0 Odoo izobraževanja: https://business.juicymarbles.com/sl/slides",,,,
3.1.2,3,,,"The responsibilities, competencies and job descriptions for all job titles with an impact on food safety and product quality shall be documented, implemented and maintained. Assignment of key roles shall be defined.",Done,Lina Petek,1.4. 2026,Responsibility matrix: https://miro.com/app/board/uXjVNZNFoVE=/ Job description / Pravilnik o sistematizaciji: 2026-05 Pravilnik o sistemizaciji delovnih mest,,,,
3.2.1,3,,*,"Risk-based requirements relating to personal hygiene shall be documented, implemented and maintained and shall include, at a minimum, the following areas: • hair and beards • protective clothing (including their conditions of use in staff facilities) • hand washing, disinfection and hygiene • eating",Done,Eva Grm,1.4. 2026,DN01 OSEBNA HIGIENA ZAPOSLENI.docx AA-DN01: Analiza tveganja osebna higiena,,,,
3.2.2,3,3,*,"The requirements for personal hygiene shall be understood and applied by all relevant personnel, contractors and visitors.",Done,Eva Grm,1.4. 2026,izpolnjena izobraževanja in pridobljeni certifikati AA-DN01: Analiza tveganja osebna higiena DN01 NAVODILA OSEBNE HIGIENE ZA ZAPOSLENE.docx,KO-D,DN03 tracker records hygiene training FALSE for 3 named production staff incl. the designated hygiene trainer; DN02 (5.2.2024) contradicts current DN01,,
3.2.3,3,,,"Compliance with personal hygiene requirements shall be monitored with a frequency based on risks, but at least once within a 3-month period.",Done,Eva Grm,1.4. 2026,QP-2.3 Mikrobiološka kontrola osebne higiene MICRO - REZULTATI ROKE/POVRŠINE / PRIPOMOČKI QP-2.1 Vizualna kontrola čistoče proizvodnje in osebne higiene OBR49: KVARTALNO PREVERJANJE OSEBNE HIGIENE OBR50: DNEVNI PREGLED OSEBNE HIGIENE,MAJOR,Quarterly personal-hygiene check did not exist before 24.7.2026; daily check never recorded; OBR50 created 6.8.2026 and still blank,,
3.2.4,3,,,A risk-based program shall be implemented and maintained to control the effectiveness of hand hygiene.,Done,Eva Grm,1.4. 2026,QP-2.3 Mikrobiološka kontrola osebne higiene,,,,
3.2.5,3,,,Visible jewellery (including piercing) and watches shall not be worn. Any exceptions shall have been comprehensively evaluated based on risks and shall be effectively managed.,Done,Eva Grm,1.4. 2026,AA-DN01: Analiza tveganja osebna higiena DN01 NAVODILA OSEBNE HIGIENE ZA ZAPOSLENE.docx,,,,
3.2.6,3,,,Cuts and skin abrasions shall be covered with a plaster/bandage that shall not pose contamination risks. Plasters/bandages shall be waterproof and coloured differently from the product colour. Where appropriate: • plasters/bandages shall contain a metal strip • single use gloves shall be worn.,Done,Eva Grm,1.4. 2026,DN01 OSEBNA HIGIENA ZAPOSLENI.docx,,,,
3.2.7,3,,,"In work areas where wearing headgear and/or a beard snood (coverings) is required, the hair shall be covered completely to prevent product contamination.",Done,Eva Grm,1.4. 2026,DN01 OSEBNA HIGIENA ZAPOSLENI.docx,,,,
3.2.8,3,,*,Usage rules shall be implemented for work areas/activities where it is required to wear gloves (coloured differently from the product colour). 54 IFS FOOD VERSION 8,Done,Eva Grm,1.4. 2026,DN01 OSEBNA HIGIENA ZAPOSLENI.docx MICRO - REZULTATI,,,,
3.2.9,3,,,Adequate protective clothing shall be provided in sufficient quantity for each employee.,Done,Lina Petek,1.4. 2026,DN02 OSEBNA HIGIENA OBISKOVALCI V2.docxOBR35 IZJAVA SEZNANJENOST S HIGIENSKO PRAKSO OBR04 IZJAVA OBISKOVALCA OBR04 IZJAVA OBISKOVALCA V2.docx OBR04 VISITOR STATEMENT V2.docx 000 - Izjava o prejemu delovne opreme OBR34 OBR34_Izjava o prejemu delovne opreme 000 - Certifikati za delovno opremo - Salesianer DN01 NAVODILA OSEBNE HIGIENE ZA ZAPOSLENE.docx,,,,
3.2.10,3,,,"All protective clothing shall be thoroughly and regularly laundered in-house, by approved con- tractors or by employees. This decision shall be documented and based on risks. Requirements related to laundry shall ensure a minimum of the following: • sufficient segregation between dirty and clean clo",Done,Eva Grm,1.4. 2026,AA-DN01: Analiza tveganja osebna higiena DN01 NAVODILA OSEBNE HIGIENE ZA ZAPOSLENE.docx Salesianer certifikati (odoo),,,,
3.2.11,3,,,"In case of any health issue or infectious disease that may have an impact on food safety, actions shall be taken to minimise contamination risks.",Done,Eva Grm,1.4. 2026,DN01 OSEBNA HIGIENA ZAPOSLENI.docx OBR04 IZJAVA OBISKOVALCA.docx OBR02 INDIVIDUALNA IZJAVA,,,,
3.3.1,3,,*,"Documented training and/or instruction programs shall be implemented with respect to the product and process requirements and the training needs of the employees, based on their job, and shall include: • training contents • training frequency • employee tasks • languages • qualified trainer/tutor • ",Done,Lina Petek,1.4. 2026,"1:1 pogovori z zaposlenimi: online evidenca v HR Ocena sodelavcev ob 1 letu zaposlitve: https://docs.google.com/spreadsheets/d/1STAhuCElFRlr00pdZMCvsfy7RvP--QSzmmVyNHnzga0/edit?resourcekey=&gid=1829840860#gid=1829840860 Training & Learning folder (plans, evidence, tracker): https://drive.google.com/drive/folders/18zJUk3T6gIOYTZGb69dQTZ6XCQchKMI-?usp=sharing Mentor tracker: https://docs.google.com/spreadsheets/d/15I8z-PPo7oLa0Tz61mBTfQUSGh3DiZUYGcI_IBw23VM/edit?gid=0#gid=0 Odoo izobraževanja: https://business.juicymarbles.com/sl/slides",,,,
3.3.2,3,,*,"The documented training and/or instruction programs shall apply to all personnel, including seasonal and temporary workers and employees from external companies, employed in the respec- tive work area. Upon employment, and before commencing work, they shall be trained/instructed in accordance with t",Done,Lina Petek,1.4. 2026,"1:1 pogovori z zaposlenimi: online evidenca v HR Ocena sodelavcev ob 1 letu zaposlitve: https://docs.google.com/spreadsheets/d/1STAhuCElFRlr00pdZMCvsfy7RvP--QSzmmVyNHnzga0/edit?resourcekey=&gid=1829840860#gid=1829840860 Training & Learning folder (plans, evidence, tracker): https://drive.google.com/drive/folders/18zJUk3T6gIOYTZGb69dQTZ6XCQchKMI-?usp=sharing Mentor tracker: https://docs.google.com/spreadsheets/d/15I8z-PPo7oLa0Tz61mBTfQUSGh3DiZUYGcI_IBw23VM/edit?gid=0#gid=0 Odoo izobraževanja: https://business.juicymarbles.com/sl/slides",C,"Training planned, not executed. 2026 not delivered: allergens, TACCP, traceability, product quality, crisis communication, metal detector operation, goods handling, internal cleaning",,
3.3.3,3,,,"Records of all training/instruction events shall be available, stating: • list of participants (including their signature) • date • duration • contents of training • name of trainer/tutor. A procedure or program shall be documented, implemented and maintained to prove the effec- tiveness of the trai",Done,Lina Petek,1.4. 2026,"1:1 pogovori z zaposlenimi: online evidenca v HR Ocena sodelavcev ob 1 letu zaposlitve: https://docs.google.com/spreadsheets/d/1STAhuCElFRlr00pdZMCvsfy7RvP--QSzmmVyNHnzga0/edit?resourcekey=&gid=1829840860#gid=1829840860 Training & Learning folder (plans, evidence, tracker): https://drive.google.com/drive/folders/18zJUk3T6gIOYTZGb69dQTZ6XCQchKMI-?usp=sharing Mentor tracker: https://docs.google.com/spreadsheets/d/15I8z-PPo7oLa0Tz61mBTfQUSGh3DiZUYGcI_IBw23VM/edit?gid=0#gid=0 Odoo izobraževanja: https://business.juicymarbles.com/sl/slides",C,Five trainings marked delivered have no attendance record; training duration not recorded although the clause names it,,
3.3.4,3,,,"The contents of training and/or instruction shall be reviewed and updated when necessary. Special consideration shall be given to these specific issues, at a minimum: • food safety • product authenticity, including food fraud • product quality 55 IFS FOOD VERSION 8 • food defence • food related lega",In progress,Ana Štravs,1.4. 2026,DN03 V2 in OBR05B PLAN USPOSABLJANJA,,,,
3.4.1,3,,*,"Adequate staff facilities shall be provided and shall be proportional in size, equipped for the number of personnel, and designed and controlled to minimise food safety risks. Such facilities shall be maintained in a way to prevent contamination.",Needs a review,Maj Hrovat,1.6. 2026,,,,,
3.4.2,3,,,"Product contamination risks by food and drink and/or foreign materials shall be minimised. Consideration shall be given to food and drink from vending machines, canteen and/or brought to work by personnel.",Done,Eva Grm,1.4. 2026,DN01 OSEBNA HIGIENA ZAPOSLENI.docx,,,,
3.4.3,3,,,"Changing rooms shall be located to allow direct access to the areas where unpacked food products are handled. When infrastructure does not allow it, alternative measures shall be implemented and maintained to minimise product contamination risks. Outdoor clothing and protective clothing shall be sto",Done,Eva Grm,1.6. 2026,DN01 NAVODILA OSEBNE HIGIENE ZA ZAPOSLENE.docx AA-DN01: Analiza tveganja osebna higiena,,,,
3.4.4,3,,,Toilets shall neither have direct access nor pose contamination risks to areas where products are handled. Toilets shall be equipped with adequate hand washing facilities. The facilities shall have adequate natural or mechanical ventilation. Mechanical airflow from a contaminated area to a clean are,In progress,Maj Hrovat,1.6. 2026,,C,No evidence that airflow from contaminated to clean areas is avoided; control acknowledged as a future project,,
3.4.5,3,,*,"Hand hygiene facilities shall be provided and shall address, at a minimum: • adequate number of wash basins • suitably located at access points to and/or within production areas • designated for cleaning hands only. The necessity of similar equipment in further areas (e.g. packing area) shall be bas",In progress,Maj Hrovat,1.6. 2026,,,,,
3.4.6,3,,,Hand hygiene facilities shall provide: • running potable water at an adequate temperature • adequate cleaning and disinfection equipment • adequate means for hand drying.,In progress,Maj Hrovat,1.6. 2026,,,,,
3.4.7,3,,,"Where the processes require a higher hygiene control, the hand washing equipment shall provide in addition: • hand contact-free fittings • hand disinfection • waste container with hand contact-free opening.",In progress,Maj Hrovat,1.6. 2026,,,,,
3.4.8,3,,,"Where needed, cleaning and disinfection facilities shall be available and used for boots, shoes and further protective clothing. 56 IFS FOOD VERSION 8 4 Operational processes",Done,"Lina Petek, Aleksandra Kadirić",1.4. 2026,DN02 OSEBNA HIGIENA OBISKOVALCI V2.docxOBR35 IZJAVA SEZNANJENOST S HIGIENSKO PRAKSO OBR04 IZJAVA OBISKOVALCA OBR04 IZJAVA OBISKOVALCA V2.docx OBR04 VISITOR STATEMENT V2.docx 000 - Izjava o prejemu delovne opreme OBR34 OBR34_Izjava o prejemu delovne opreme 000 - Certifikati za delovno opremo - Salesianer DN01 NAVODILA OSEBNE HIGIENE ZA ZAPOSLENE.docx,,,,
4.1.1,4,,,A procedure shall be implemented and maintained to identify fundamental needs and expectations of customers. The feedback from this process shall be used as input for the company’s continuous improvement.,Done,Katra Šilc,1.4. 2026,PR02_Stranke in pogodbeni dogovori,,,,
4.1.2,4,,,"All requirements related to food safety and product quality, within the customer agreements, and any revision of these clauses, shall be communicated to, and implemented by each relevant department.",Done,Ana Štravs,1.4. 2026,PR02_Stranke in pogodbeni dogovori DN27 NAVODILA ZA KOMUNIKACIJO.docx,,,,
4.1.3,4,4,*,Where there are customer agreements related to: • product recipe (including raw materials characteristics) • process • technological requirements • testing and monitoring plans • packaging • labelling these shall be complied with.,In progress,Katra Šilc,1.4. 2026,PR01_Zahteve za označevanje produktov,KO-AT-RISK,"Evidence covers labelling legislation only, not the other five areas the clause lists; document code contradicts filename",,
4.1.4,4,,,"In accordance with customer requirements, the senior management shall inform their affected customers, as soon as possible, of any issue related to product safety or legality, including deviations and non-conformities identified by competent authorities.",Done,Ana Štravs,1.4. 2026,DN27 NAVODILA ZA KOMUNIKACIJO.docx,,,,
4.2.1.1,4,,*,"Specifications shall be documented and implemented for all finished products. They shall be up to date, unambiguous and in compliance with legal and customer requirements.",Needs a review,"Ana Štravs, Katarina Valentinčič",1.4. 2026,Thick-Cut Filet Specification Granny's Roast Specification preliminary Whole-Cut Loin Specification Baby Ribs Specification Butcher-Minced Bangers Specification Meaty Meat Pork Specification Meaty Meat Lamb Specification,,,,
4.2.1.2,4,,,"A procedure to control the creation, approval and amendment of specifications shall be documented, implemented and maintained and shall include, where required, the acceptance of the customer(s). Where required by customers, product specifications shall be formally agreed. This procedure shall inclu",Needs a review,"Ana Štravs, Katarina Valentinčič",1.4. 2026,DN21 RECEPTURE IN SPECIFIKACIJE IZDELKOV.docx,,,,
4.2.1.3,4,5,*,"Specifications shall be documented and implemented for all raw materials (ingredients, additives, packaging materials, rework). Specifications shall be up to date, unambiguous and in compliance with legal requirements and, if defined, with customer requirements.",Needs a review,Rok Mejaš,1.4. 2026,,KO-AT-RISK,"No raw material specification register. Own AA4 risk analysis (7.8.2026) records a spec held outside the ERP, two unassessed suppliers of edible/food-contact materials, an unidentified refiner. No rework spec",,
4.2.1.4,4,,,Specifications and/or their contents shall be available on-site for all relevant personnel.,Done,"Ana Štravs, Katarina Valentinčič",1.4. 2026,Drive,,,,
4.2.1.5,4,,*,"Where products are requested to be labelled and/or promoted with a claim or where certain methods of treatment or production are excluded, measures shall be implemented to demonstrate compliance with such a statement.",Re-check before audit,"Ana Štravs, Katarina Valentinčič",1.4. 2026,Prehranske trditve,,,,
4.3.1,4,,,"A procedure for the development or modification of products and/or processes shall be documented, implemented and maintained and shall include, at a minimum, a hazard analysis and assessment of associated risks.",Done,"Eva Grm, Anja Rutar",1.4. 2026,HS09_Razvoj_in_sprememba_izdelkov_in_procesov (v delu),,,,
4.3.2,4,,*,The procedure shall ensure that labelling complies with current legislation of the destination country/ies and customer requirements.,Needs a review,"Ana Štravs, Katarina Valentinčič",1.4. 2026,PR01_Zahteve za označevanje produktov Seznam zakonodaje,,,,
4.3.3,4,,*,"The development and/or modification process shall result in specifications about formulation, rework, packaging materials, manufacturing processes and comply with food safety, product quality, legality, authenticity and customer requirements. This includes factory trials, product testing and process",Done,Anja Rutar,1.4. 2026,R&D Documentation,,,,
4.3.4,4,,,"Shelf life tests or appropriate validation through microbiological, chemical and organoleptic evaluation shall be carried out and consideration shall be given to product formulation, packaging, manufacturing and declared conditions. The shelf life shall be defined in accordance with this evaluation.",Done,Eva Grm,1.4. 2026,QP-4.5 Eksterna kontrola produktov ob koncu roka trajanja HS09_Razvoj_in_sprememba_izdelkov_in_procesov (v delu),,,MAJOR,"Actions on non-conforming analytical results (Hamilton test report LOT 260212, 1.4.2026: carbohydrate and iron content deviate from the declaration incl. the ""high in iron"" claim), recurring internal micro non-conformities and recurring sensory complaints are not properly documented or assessed for effectiveness"
4.3.5,4,,,Recommendations for preparation and/or instructions for use of food products related to food safety and/or product quality shall be validated and documented.,In progress,"Eva Grm, Katarina Valentinčič",1.4. 2026,"DN32: Validacija navodil za pripravo, shranjevanje in uporabo izdelkov HS09_Razvoj_in_sprememba_izdelkov_in_procesov (v delu)",,,,
4.3.6,4,,,Nutritional information or claims which are declared on labelling shall be validated through studies and/or tests throughout the shelf life of the products.,Done,Eva Grm,1.4. 2026,QP-4.5 Eksterna kontrola produktov ob koncu roka trajanja HS09_Razvoj_in_sprememba_izdelkov_in_procesov (v delu),,,,
